用户名,帖子内容,留言用户名,留言时间,留言内容
['中国青年报'],['#鸟巢全场为盲人主火炬手加油#【最终环节，#盲人运动员点燃主火炬#】这是往届残奥会上从没有过的大胆尝试。承担这一使命的是退役盲人运动员李端。他曾是职业篮球运动员，一次过期灭火器爆炸导致他双目失明，右手食指第一节缺失。在2008年的鸟巢，他获得了男子三级跳远F11级的冠军，并打破世界纪录。李端两周前才得到参加开幕式的通知。李端点燃火炬的时候遇到了一些困难，全场为他加油。他感觉主火炬比别的火炬沉，有十来斤，“我看不见火炬，但是我要把最后一棒火炬插好、点燃，让更多的人看见我们，看见我们残疾人自强不息，努力向上的这种精神。”李端说（中青报·中青网记者 杨杰 马子倩） 中国青年报的微博视频'],['Shimmer_Yuzu'],['22-3-4 21:41'],['怎么能说是失误呢，他没有失误，这就是不同的生命状态，最真实的状态。']
['中国青年报'],['#鸟巢全场为盲人主火炬手加油#【最终环节，#盲人运动员点燃主火炬#】这是往届残奥会上从没有过的大胆尝试。承担这一使命的是退役盲人运动员李端。他曾是职业篮球运动员，一次过期灭火器爆炸导致他双目失明，右手食指第一节缺失。在2008年的鸟巢，他获得了男子三级跳远F11级的冠军，并打破世界纪录。李端两周前才得到参加开幕式的通知。李端点燃火炬的时候遇到了一些困难，全场为他加油。他感觉主火炬比别的火炬沉，有十来斤，“我看不见火炬，但是我要把最后一棒火炬插好、点燃，让更多的人看见我们，看见我们残疾人自强不息，努力向上的这种精神。”李端说（中青报·中青网记者 杨杰 马子倩） 中国青年报的微博视频'],['忒妵婆婆'],['22-3-4 21:38'],['那声“加油”出来立刻泪奔']
['中国青年报'],['#鸟巢全场为盲人主火炬手加油#【最终环节，#盲人运动员点燃主火炬#】这是往届残奥会上从没有过的大胆尝试。承担这一使命的是退役盲人运动员李端。他曾是职业篮球运动员，一次过期灭火器爆炸导致他双目失明，右手食指第一节缺失。在2008年的鸟巢，他获得了男子三级跳远F11级的冠军，并打破世界纪录。李端两周前才得到参加开幕式的通知。李端点燃火炬的时候遇到了一些困难，全场为他加油。他感觉主火炬比别的火炬沉，有十来斤，“我看不见火炬，但是我要把最后一棒火炬插好、点燃，让更多的人看见我们，看见我们残疾人自强不息，努力向上的这种精神。”李端说（中青报·中青网记者 杨杰 马子倩） 中国青年报的微博视频'],['星汉胡杨'],['22-3-4 21:38'],['加油！']
['中国青年报'],['#鸟巢全场为盲人主火炬手加油#【最终环节，#盲人运动员点燃主火炬#】这是往届残奥会上从没有过的大胆尝试。承担这一使命的是退役盲人运动员李端。他曾是职业篮球运动员，一次过期灭火器爆炸导致他双目失明，右手食指第一节缺失。在2008年的鸟巢，他获得了男子三级跳远F11级的冠军，并打破世界纪录。李端两周前才得到参加开幕式的通知。李端点燃火炬的时候遇到了一些困难，全场为他加油。他感觉主火炬比别的火炬沉，有十来斤，“我看不见火炬，但是我要把最后一棒火炬插好、点燃，让更多的人看见我们，看见我们残疾人自强不息，努力向上的这种精神。”李端说（中青报·中青网记者 杨杰 马子倩） 中国青年报的微博视频'],['三楼窗台'],['22-3-4 23:24'],['他如果很顺利就很假了，这就是盲人最真实的状态，我们要知道他们每天是在多么困难的状态下生活着']
['中国青年报'],['#鸟巢全场为盲人主火炬手加油#【最终环节，#盲人运动员点燃主火炬#】这是往届残奥会上从没有过的大胆尝试。承担这一使命的是退役盲人运动员李端。他曾是职业篮球运动员，一次过期灭火器爆炸导致他双目失明，右手食指第一节缺失。在2008年的鸟巢，他获得了男子三级跳远F11级的冠军，并打破世界纪录。李端两周前才得到参加开幕式的通知。李端点燃火炬的时候遇到了一些困难，全场为他加油。他感觉主火炬比别的火炬沉，有十来斤，“我看不见火炬，但是我要把最后一棒火炬插好、点燃，让更多的人看见我们，看见我们残疾人自强不息，努力向上的这种精神。”李端说（中青报·中青网记者 杨杰 马子倩） 中国青年报的微博视频'],['怎么修改才能不重复'],['22-3-4 21:56'],['破防了']
['中国青年报'],['#鸟巢全场为盲人主火炬手加油#【最终环节，#盲人运动员点燃主火炬#】这是往届残奥会上从没有过的大胆尝试。承担这一使命的是退役盲人运动员李端。他曾是职业篮球运动员，一次过期灭火器爆炸导致他双目失明，右手食指第一节缺失。在2008年的鸟巢，他获得了男子三级跳远F11级的冠军，并打破世界纪录。李端两周前才得到参加开幕式的通知。李端点燃火炬的时候遇到了一些困难，全场为他加油。他感觉主火炬比别的火炬沉，有十来斤，“我看不见火炬，但是我要把最后一棒火炬插好、点燃，让更多的人看见我们，看见我们残疾人自强不息，努力向上的这种精神。”李端说（中青报·中青网记者 杨杰 马子倩） 中国青年报的微博视频'],['努力做素烧饼'],['22-3-4 21:43'],['太不容易了']
['中国青年报'],['#鸟巢全场为盲人主火炬手加油#【最终环节，#盲人运动员点燃主火炬#】这是往届残奥会上从没有过的大胆尝试。承担这一使命的是退役盲人运动员李端。他曾是职业篮球运动员，一次过期灭火器爆炸导致他双目失明，右手食指第一节缺失。在2008年的鸟巢，他获得了男子三级跳远F11级的冠军，并打破世界纪录。李端两周前才得到参加开幕式的通知。李端点燃火炬的时候遇到了一些困难，全场为他加油。他感觉主火炬比别的火炬沉，有十来斤，“我看不见火炬，但是我要把最后一棒火炬插好、点燃，让更多的人看见我们，看见我们残疾人自强不息，努力向上的这种精神。”李端说（中青报·中青网记者 杨杰 马子倩） 中国青年报的微博视频'],['喝柠檬水005'],['22-3-4 21:52'],['他也曾见过光明']
['中国青年报'],['#鸟巢全场为盲人主火炬手加油#【最终环节，#盲人运动员点燃主火炬#】这是往届残奥会上从没有过的大胆尝试。承担这一使命的是退役盲人运动员李端。他曾是职业篮球运动员，一次过期灭火器爆炸导致他双目失明，右手食指第一节缺失。在2008年的鸟巢，他获得了男子三级跳远F11级的冠军，并打破世界纪录。李端两周前才得到参加开幕式的通知。李端点燃火炬的时候遇到了一些困难，全场为他加油。他感觉主火炬比别的火炬沉，有十来斤，“我看不见火炬，但是我要把最后一棒火炬插好、点燃，让更多的人看见我们，看见我们残疾人自强不息，努力向上的这种精神。”李端说（中青报·中青网记者 杨杰 马子倩） 中国青年报的微博视频'],['米淘_mir'],['22-3-4 21:43'],['破防了泪目']
['中国青年报'],['#鸟巢全场为盲人主火炬手加油#【最终环节，#盲人运动员点燃主火炬#】这是往届残奥会上从没有过的大胆尝试。承担这一使命的是退役盲人运动员李端。他曾是职业篮球运动员，一次过期灭火器爆炸导致他双目失明，右手食指第一节缺失。在2008年的鸟巢，他获得了男子三级跳远F11级的冠军，并打破世界纪录。李端两周前才得到参加开幕式的通知。李端点燃火炬的时候遇到了一些困难，全场为他加油。他感觉主火炬比别的火炬沉，有十来斤，“我看不见火炬，但是我要把最后一棒火炬插好、点燃，让更多的人看见我们，看见我们残疾人自强不息，努力向上的这种精神。”李端说（中青报·中青网记者 杨杰 马子倩） 中国青年报的微博视频'],['梓晗秀'],['22-3-4 21:41'],['好感动']
['中国青年报'],['#鸟巢全场为盲人主火炬手加油#【最终环节，#盲人运动员点燃主火炬#】这是往届残奥会上从没有过的大胆尝试。承担这一使命的是退役盲人运动员李端。他曾是职业篮球运动员，一次过期灭火器爆炸导致他双目失明，右手食指第一节缺失。在2008年的鸟巢，他获得了男子三级跳远F11级的冠军，并打破世界纪录。李端两周前才得到参加开幕式的通知。李端点燃火炬的时候遇到了一些困难，全场为他加油。他感觉主火炬比别的火炬沉，有十来斤，“我看不见火炬，但是我要把最后一棒火炬插好、点燃，让更多的人看见我们，看见我们残疾人自强不息，努力向上的这种精神。”李端说（中青报·中青网记者 杨杰 马子倩） 中国青年报的微博视频'],['-小譚-辉言废语'],['22-3-4 21:40'],['虽然我眼睛里只有黑暗，但我手中掌握着光明！！那一声加油，击中泪点']
